Application,CD-R/W,DVD-R/RW/RAM,DVD+R/RW,DVD+R/RW DL,DVD-R/RW DL,BD-R/RE,BD-R/RE DL
Alcohol 120%,Yes,Yes,Yes,Yes,Yes,No,No
CDBurnerXP,Yes,Yes,Yes,Yes,Yes,Yes,Yes
cdrtools,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DeepBurner,Yes,Yes,Yes,?,?,No,No
ExpressBurn,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ImgBurn,Yes,Yes,Yes,Yes,Yes,Yes,Yes
InfraRecorder,Yes,Yes,Yes,Yes,Yes,No,No
K3b,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Nero Burning ROM,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UltraISO,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X-CD-Roast,Yes,Yes,Yes,?,?,No,No
