Family,Country,Manufac.,Payload (kg),"Cost (US$, millions)",Launches reaching…,Status,Date of flight,Notes,Refs
Angara 1.2,Russia,Khrunichev,"7003380000000000000♠3,800",--,--,7001250000000000000♠25,7000100000000000000♠1,7000100000000000000♠1,5000000000000000000♠0,N/A,Active,2014,,"As of 2017, only launch was suborbital[1]",[2][3][4]
Angara A5,Russia,Khrunichev,"7004146000000000000♠14,600–35,000","7003360000000000000♠3,600–12,500",--,--,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,7000100000000000000♠1,Active,2014,,,[2][5]
Antares,USA,Orbital ATK,"7003650000000000000♠6,500",--,--,7001800000000000000♠80,7000700000000000000♠7,7000600000000000000♠6,7000600000000000000♠6,7000600000000000000♠6,Active,2013,,Cygnus launcher,[6][7][8]
Ariane 1-2-3,Europe,Aérospatiale,N/A,"7003265000000000000♠2,650",N/A,--,7001280000000000000♠28,,,,Retired,1979,1989,,[9][10]
Ariane 4,Europe,Aérospatiale,"7003700000000000000♠7,000","7003472000000000000♠4,720",N/A,--,7002116000000000000♠116,,,,Retired,1988,2003,"Var.: 40, 42P, 42L, 44P, 44L, 44LP",[10]
Ariane 5,Europe,Airbus,"7004210000000000000♠21,000","7004107350000000000♠10,735[11]",N/A,7002165000000000000♠165–220,7001760000000000000♠76,7001740000000000000♠74,7001740000000000000♠74,7001720000000000000♠72,Active,1996,,"Var.: G, G+, GS, ECA, ES.",[12][13][14]
Ariane 6,Europe,Airbus Safran,"7004215000000000000♠21,500","7004115000000000000♠11,500",N/A,7002115000000000000♠115,5000000000000000000♠0,,,,Devel.,2020,,"Var.: Ariane 62, Ariane 64.",
ASLV,India,ISRO,7002150000000000000♠150,--,--,--,7000400000000000000♠4,,,,Retired,1987,1994,,[15]
Athena I & II,USA,Lockheed ATK,"7003206500000000000♠2,065",--,7002295000000000000♠295,--,7000700000000000000♠7,,,,Retired,1995,2001,Launch Lunar Prospector.[16],[17]
Atlas A-B-C-D-E-F-G Atlas I,USA,Lockheed,"7003590000000000000♠5,900","7003234000000000000♠2,340",--,--,7002514000000000000♠514,,,,Retired,1957,1997,Launch Mercury. Atlas or Centaur upper stage.,[18][19][20][21]
Atlas II,USA,Lockheed,"7003861800000000000♠8,618","7003383300000000000♠3,833",--,--,7001630000000000000♠63,7001630000000000000♠63,7001630000000000000♠63,,Retired,1991,2004,,[22][23][24]
Atlas III,USA,Lockheed,"7004107590000000000♠10,759","7003460900000000000♠4,609",--,--,7000600000000000000♠6,7000600000000000000♠6,7000600000000000000♠6,,Retired,2003,2005,"Var.: IIIA, IIIB",[25][26]
Atlas V,USA,ULA,"7004188500000000000♠18,850","7003890000000000000♠8,900","7003280700000000000♠2,807",7002109000000000000♠109–153,7001740000000000000♠74,7001740000000000000♠74,7001740000000000000♠74,7001730000000000000♠73,Active,2002,,Launched Juno & New Horizons,[27][28]
BFR,USA,SpaceX,"7005100000000000000♠100,000+",--,"7005100000000000000♠100,000+[a]",--,5000000000000000000♠0,,,,Devel.,2020,,"Fully reusable. Expected as early as 2020, with suborbital spaceship tests beginning in the first half of 2019.",[29][30][31][32]
Black Arrow,UK,RAE Westland,7002132000000000000♠132,--,--,--,7000400000000000000♠4,7000300000000000000♠3,,,Retired,1969,1971,,[33]
Delta,USA,Douglas,"7003384800000000000♠3,848","7003131200000000000♠1,312",--,--,7002186000000000000♠186,,,,Retired,1960,1989,"Launched Pioneer & Explorer probes. Var. A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00",[34][35]
Delta II,USA,ULA,"7003600000000000000♠6,000","7003217100000000000♠2,171","7003150800000000000♠1,508",7001510000000000000♠51,7002153000000000000♠153,7002152000000000000♠152,7002152000000000000♠152,7002151000000000000♠151,Retired,1989,2018,"Launched Mars probes MGS to Phoenix Var.: 6000, 7000, and Heavy.",[34][36][37]
Delta III,USA,Boeing,"7003829000000000000♠8,290","7003381000000000000♠3,810",--,--,7000300000000000000♠3,7000200000000000000♠2,7000200000000000000♠2,,Retired,1998,2000,,[38][39]
Delta IV,USA,ULA,"7004230400000000000♠23,040","7004131300000000000♠13,130","7003900000000000000♠9,000",--,7001350000000000000♠35,7001350000000000000♠35,7001350000000000000♠35,7001340000000000000♠34,Active,2002,,"Var.: M, M+, and Heavy.",[40]
Diamant,France,SEREB,,--,--,--,7001120000000000000♠12,,,7000900000000000000♠9,Retired,1965,1975,,[citation needed]
R-36M Dnepr,Ukraine Russia,Yuzhmash,"7003360000000000000♠3,600",--,7002750000000000000♠750,7001140000000000000♠14,7001170000000000000♠17,,,,Retired,1999,2015,,[41][42] [full citation needed][43]
Electron,NZ USA,Rocket Lab,7002225000000000000♠225,,,7000600000000000000♠6,7000200000000000000♠2,7000200000000000000♠2,7000100000000000000♠1,7000100000000000000♠1,Active,2017,,,[44]
Energia,Soviet Union,NPO Energia,"7005100000000000000♠100,000",,,7002240000000000000♠240,7000200000000000000♠2,7000200000000000000♠2,7000100000000000000♠1,7000100000000000000♠1,Retired,1987,1988,"1 partial failure with Polyus spacecraft, 1 successful flight with Buran shuttle.",[45][citation needed]
